subject,method,test_acc5,test_acc10,self_acc5,self_acc10
zlib_ng_TF_top30,allfails-maxMutants-excludeCCT,0.651082251082251,0.8233766233766234,0.9911392405063293,1.0
zlib_ng_TF_top30,rand50-maxMutants-excludeCCT,0.5666666666666667,0.7861471861471861,0.9873417721518987,1.0
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.5891774891774892,0.7939393939393941,0.9873417721518987,1.0
libxml2_TF_top30,allfails-maxMutants-excludeCCT,0.8458874458874458,0.9229437229437231,0.9389830508474578,0.9843220338983052
libxml2_TF_top30,rand50-maxMutants-excludeCCT,0.5324675324675325,0.7463203463203464,0.8398305084745763,0.9220338983050848
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8528138528138527,0.9307359307359307,0.9398305084745765,0.9855932203389829
opencv_features2d_TF_top30,allfails-maxMutants-excludeCCT,0.8004329004329003,0.906926406926407,0.8495833333333334,0.9508333333333333
opencv_features2d_TF_top30,rand50-maxMutants-excludeCCT,0.6181818181818182,0.8220779220779221,0.6883333333333332,0.8804166666666665
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.783982683982684,0.8969696969696969,0.825,0.9400000000000001
opencv_imgproc_TF_top30,allfails-maxMutants-excludeCCT,0.8047619047619048,0.9138528138528139,0.7918103448275863,0.909051724137931
opencv_imgproc_TF_top30,rand50-maxMutants-excludeCCT,0.522943722943723,0.7606060606060605,0.569396551724138,0.7495689655172415
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.6341991341991342,0.8303030303030303,0.6681034482758621,0.8362068965517242
opencv_core_TF_top30,allfails-maxMutants-excludeCCT,0.8307359307359306,0.9268398268398268,0.5969827586206897,0.6715517241379312
opencv_core_TF_top30,rand50-maxMutants-excludeCCT,0.6424242424242425,0.8238095238095239,0.4607758620689655,0.525
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.7865800865800865,0.8978354978354979,0.5987068965517242,0.6594827586206897
jsoncpp_TF_top30,allfails-maxMutants-excludeCCT,0.8112554112554113,0.9043290043290044,0.9439655172413793,0.988793103448276
jsoncpp_TF_top30,rand50-maxMutants-excludeCCT,0.5562770562770563,0.7722943722943723,0.8366379310344827,0.9633620689655172
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8246753246753247,0.9142857142857143,0.9543103448275863,0.9905172413793103
